Sr No.,Drawing,Source of data,Common name Marathi,Common name English,Scientific Name,Name,Tag,Link to artwork,Artist name,Grove type / Category,Short description,Artist's social media
,,,,,,,,,,,,
,,,Asana,Spinous Kino Tree,Bridelia retusa, आसणा,,,,,,
,,,Sitaranjan,Fiddlewood Tree,Citharexylum spinosum,सीतारंजन,Tree,,,,,
,,,Sonchafa,Golden Champa,Magnolia champaca,सोनचाफा,,https://drive.google.com/drive/u/0/folders/1bLQ6MDM35px-VvJJByTVV_0g8WnuNbC0,Medha,,,
,,,Naral,Coconut,Cocos nucifera,नारळ,,,,,,
,,,Water Berry,Water Berry,Syzygium cordatum,वॉटर बेरी,,,,,,
,,,Shikakai,Soap Pod,Senegalia merrillii,शिकेकाई,,https://drive.google.com/drive/u/0/folders/1bLQ6MDM35px-VvJJByTVV_0g8WnuNbC0,Medha,,,
,,,Limbara,Malabar Neem,Melia dubia,,,,,,,
,,,Kinjal,Flowering Murdah,Terminalia paniculata,,,,,,,
,,,Tambat,Madagascar Plum,Flacourtia indica,तांबट,,,,,,
,,,Malkanguni,,Celastrus paniculatus,मालकांगुणी,Climber,,,,,
,,,Dev Savar,Silk cotton tree,Bombax insigne,देव सावर,,,,,,
,,,Vilayati Chinch,Madras Thorn,Pithecellobium dulce,विलायती चिंच,,,,,,
,,,Kadhipatta ,Curry Leaf Plant,Murraya koenigii,कढीपत्ता,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,[object Object],,Vadache jhaad,Banyan,Ficus benghalensis,वड,,https://drive.google.com/file/d/10VYVTAlsnFPo_RVzHq6Be7Zi8iCF4maJ/view?usp=drive_link,Medha Bhagwat,,,
,,,,,,,,,,,,
,[object Object],,Vanajai ,Wild Jasmine ,Clerodendrum inerme / Volkameria inermis,वनजाई,Shrub,https://drive.google.com/file/d/1-AP1wsM5q_ORDjRI0tecSjM4kQM_ETwB/view?usp=drive_link,Lavanya Dhyani,Flower,"The tree is a shrub 1–4 metres, but it can grow into a tree with a height up to 10 m. The flower is trumpet-shaped with white petals. It grows in clusters each made of 3 to 7 of them joined at the base. Its parts have many medical properties. The seeds and roots are used to treat symptoms of venom bites by some fish and other marine animals. It is the preferred local food plant for the caterpillars of the butterfly gram blue (",
,[object Object],,Mhalungi,Purple morning Glory,Argyreia cuneata,म्हाळुंगी,Climbing Shrub,https://drive.google.com/file/d/1CC70dEnYM7zGTUK1UmPregMuQbaUf6jy/view?usp=sharing,Lavanya Dhyani,All parts of the tree,"Mhalungi plant is used to treat diabetes, helminthic infections, skin cuts, to initiate labor pain and to ease delivery. Common on degraded hill slopes of dry deciduous forests, occasional in
plains along hedges. ",
132,[object Object],8 NATURALS,Jambhul,Java plum/ Indian blackberry ,Syzygium cumini,जांभूळ,Tree,https://drive.google.com/file/d/1Q2diGlvyPlpR9uuAyjqj8rT70FDOPPIQ/view?usp=sharing,Maithili Phatak,,,
260,,Field visit,Anjani,,Memecylon umbellatum,अंजनी,Tree,,Vatsala,,,
,,8 NATURALS,Shindi,,Phoenix sylvestris,शिंदी,Tree,,Bhavana,,,
259,[object Object],8 NATURALS,Rui,Rubber tree /rubber bush ,Calotropis procera,रुई,Shrub,,Medha Bhagwat,All parts of the tree,"Rui typically grows in sunny and partly shaded habitats, including overgrazed pastures, rangeland, roadsides, river flats and coastal dunes. The leaves of Calotropis procera are said to be valuable as an antidote for snake bite, sinus fistula, rheumatism, mumps, burn injuries, and body pain. Its green fruits contain a toxic milky sap that is extremely bitter and turns into a gluey coating which is resistant to soap. The plant feeds monarch butterfly caterpillars. The fibre of the Rui may have been used for the linen of the high priests. The fruit is filled chiefly with air, which gives it the round form; while in the center a small slender pod runs through it which contains a small quantity of fine silk. The plant is poisonous if eaten by livestock. This plant is also found along road verges and in drainage lines. The milky sap contains a complex mix of chemicals, some of which are steroidal heart poisons for humans known as ""cardiac aglycones"". All parts of the plants are toxic. ",IG- @_medhu_vada_
258,[object Object],8 NATURALS,Adulsa,,Justicia adhatoda,अडुळसा,Shrub,https://drive.google.com/file/d/1V3TdnhsUFl5hOV8DGBOwOH9qVhVZ5g23/view?usp=sharing,Medha Bhagwat,,,IG- @_medhu_vada_
175,,8 NATURALS,Pashanbhed,Fringed Bergenia,Bergenia ciliata,पाषाणभेद,Herb,,,Flower,"This is a rhizomatic herb with fleshy leaves, growing upto 30 cm tall, having a stout creeping rhizomatous rootstock. The rhizomes and roots of the plant act as astringent, tonic and have anti-inflammatory effect and are applied as poultice for stiff joints, boils, abscesses and skin infections. It is a medicinal plant used for the treatment of kidney stones. Outstanding large-leaved foliage plant that serves as an excellent ground cover for shady areas of the landscape. Edging for paths and walkways. Border fronts. ",
55,,8 NATURALS,Kapur Tulas,,Ocimum kilimandscharicum,कापूर तुळस,Herb,,,,,
118,[object Object],8 NATURALS,Hirda,,Terminalia chebula,हिरडा,Tree,https://drive.google.com/file/d/1E3WCExyySSEFocLmogRf0KY7lE6oQDLn/view?usp=drive_link,Himani,,,
128,[object Object],8 NATURALS,Chilar,Mysore Thorn,Caesalpinia decapetala,चिलार,Climbing Shrub,https://drive.google.com/file/d/1CKkD2-U_zA3K6I2dCvd29ancf11NAhjG/view?usp=sharing,Vanshika Kaila,Stem,"Chilar is a large sprawling shrub, with prickly branches with numerous straight to hooked thorns on the stems, that forms dense thickets. Leaves are used for the treatment of burns. Other uses of Chilar are as laxative, tonic, anti-pyretic and carminative. It is planted as a hedge or fence in some areas to keep off pests especially baboons and other primates due to its strong tough thorns. It is also valuable for the treatment of jaundice. It can also adversely affect the movement of livestock and some species of wildlife. Its dense thickets can restrict water flow, access and downstream movement of flood debris, leading to increased upstream flood damage.",
74,,8 NATURALS,White Gunja,,,गुंज पांढरी,Climber,,,,,
123,,8 NATURALS,Madhunashini,,Gymnema sylvestre,मधू नाशिनी,Climber,,,,,
131,,8 NATURALS,Chitrak,,Plumbago zeylanica,चित्रक,Herb,,,,,
242,[object Object],8 NATURALS,Moi,,Lannea coromandelica,मोई,Tree,https://drive.google.com/file/d/1bSXejLvcJu18Wlfmu01NUc6NBF2NuD5o/view?usp=drive_link,Himani C,,,
81,,8 NATURALS,"Gondhan, Bhokar ",Indian cherry,Cordia dichotoma,"गोंधण, भोकर ",Tree,,Vatsala Shukla,Fruit,"Flowers of Bhokar are short-stalked, bisexual, white in colour which open only at night. The fruit is a yellow or pinkish-yellow shining globose which turns black on ripening and the pulp becomes a sticky fluid. It is a tree of tropical and subtropical regions found in a variety of habitats. The larvae of the butterfly Shining Oak-blue feed on leaves of Bhokar. The immature fruits are pickled and are also used as a vegetable fodder. The leaves also yield good fodder. The fruits of Bhokar are edible and a rich source of carbohydrates and are potential sources of antibacterial and antioxidant contents. It is often cultivated for its fruits throughout the range of its natural distribution. The plant has been shown to have anti-helminthic, astringent, diuretic, demulcent, purgative, expectorant, properties, and it is safely used for various human ailments such as common cold, catarrh, cough, respiratory distress and fevers. Propagation is through seeds which should be sown direct into containers, beds, or trays and replanted when the first pair of true leaves have formed.",
103,[object Object],8 NATURALS,Shirish,Siris tree,Albizia lebbeck,शिरीष,Tree,https://drive.google.com/file/d/1ERx5kAG6R7AiA7x019dzmx5FKbpxXR2P/view?usp=sharing,Nonisha Negi,Bark,"Uses of Shirish include environmental management, forage, medicine and wood. It is cultivated as a shade tree. Shirisharishta is a popular and commonly used Ayurvedic formulation prescribed to the patients of Shwasa (breathing difficulties), Kasa (cough) and others.",IG- @n0nisha
98,,8 NATURALS,,,Citrus limetta,लिंब,Shrub,,,,,
93,,8 NATURALS,Lazalu,Touch-me-not,Mimosa,लाजाळू,Herb,,,,,
192,[object Object],8 NATURALS,Behada,,Terminalia bellirica,बेहडा,Tree,https://drive.google.com/file/d/1yNHh-3REZoaesRjcoffeRCEXkmtrH2pW/view?usp=sharing,Rohit Thomas Issac,,,IG- @thomasdoes.art
73,,8 NATURALS,Gunj,Coral bead vine,Abrus precatorius,गुंज,Climber,,,Seed,"The plant is best known for its seeds, which are used as beads and much valued in native jewelry for their bright coloration reminiscent of a ladybug. Ingestion of a single seed, well chewed, can be fatal. Ingesting intact seeds may result in no clinical findings, as they can pass undigested through the gastrointestinal tract because of their hard shell. Formerly Indians used these seeds to weigh gold using a measure called a Ratti. In smaller quantities, this plant has been used in Siddha medicine for centuries.",
183,[object Object],8 NATURALS,Pandhara palas,Safed palash,Butea Monosperma ,पांढरा पळस,Tree,https://drive.google.com/file/d/1hc8A3XOYLTISGjPFYj3fKrSgN2l-ETJl/view?usp=sharing,Rohit Thomas Issac,Flower,"Pandhara Palash, also known as White Butea Monosperma, is a flowering tree species that is native to the Indian subcontinent. It is characterized by its large, white or cream-colored flowers, instead of the usual red ones, that bloom in clusters during the spring season. The juice from the plant as well as the oil is antiseptic. It is an excellent remedy for itch and herpes. The seeds are likely to produce toxic effect when administered in a powder form. White Palash flower is mainly used to get rid of worms from the stomach due to its anthelmintic activity. It also helps to manage liver disorders due to its antioxidant properties.",IG- @thomasdoes.art
113,[object Object],8 NATURALS,Hivar,,Vachellia leucophloea,हिवर,Tree,,Satvik Soni,,,
154,[object Object],8 NATURALS,Davana,Indian Wormwood, ,दवणा,Tree,https://drive.google.com/file/d/1OS2m9Qxo6iXomCx0gzjnJTTCplXpAROR/view?usp=sharing,Nonisha Negi,Flower,"Davana is an aromatic herb, It is xerophytic In nature which means it can survive in non avaibility water. It is commercially cultivated for its fragrant leaves and flowers. It is a preferred food for the larvae of a number of butterfly species. The leaves and flowers yield an essential oil known as oil of Davana. The plant is also used as fodder. Davana blossoms are offered to Shiva, the God of Transformation, by the faithful, and decorate his altar throughout the day. Extract from the aerial parts of the plants was observed to reduce blood glucose levels. Davana oil is used in making perfumes. Also, leaves and stalks are used in making bouquets, garlands, fresh or dry flower arrangements.",IG- @n0nisha
104,[object Object],8 NATURALS,Reetha,Indian soapberry,Sapindus mukorossi,,Climber,https://drive.google.com/file/d/1sGF6HYvnwQS3oVo6oQeW5WgCeYALtjeQ/view?usp=sharing,Medha Bhagwat,,,IG- @_medhu_vada_
179,[object Object],8 NATURALS,Pivla palas,Yellow Palash,,पिवळा पळस,Tree,https://drive.google.com/file/d/1ePYR89MnRalhZRLkoS5FTFTlI-54zlz5/view?usp=sharing,Rohit Thomas Issac,,,IG- @thomasdoes.art
225,,8 NATURALS,Magai Paan,,Piper Betel,मगई पान,Shrub,,,,,
44,[object Object],8 NATURALS,Rakta Kanchan,Purple Orchid Tree,Bauhinia purpurea,रक्त कांचन,Tree,https://drive.google.com/file/d/1Sq-wSl8xkL67-lpnRBkJbc1bhiw6TAdD/view?usp=sharing,Vanshika Kaila,Flower,"The beautiful & fragrant, classic, Orchid-like flowers of Bauhinia purpurea makes this small tree, native to India, a favourite of many plant lovers. The leaves have a citrusy and sour taste and are used either as a souring agent for S",IG- @van.imite
227,,8 NATURALS,Strawberry,Strawberry,Fragaria ananassa,स्ट्रॉबेरी,Herb,,,,,
253,,8 NATURALS,Darbha,Halfa grass, Desmostachya bipinnata,दर्भ,Grass,,,Leaves,"Darbha is a grass that is tall, tufted, leafy, perennial grass, branching from the base. In agriculture, it is a weed commonly found in wheat crops. Darbha has long been used in various traditions (Hindus, Jains and Buddhists) as a very sacred plant. It was the material used by Buddha for his meditation seat when he attained enlightenment. It is mentioned in the Rig Veda for use in sacred ceremonies and also as a seat for priests and the gods. Kusha grass is specifically recommended by Krishna in the Bhagavad Gita as part of the ideal seat for meditation. Rope made from this grass is used on ships for the usual uses for mooring etc, ",
62,,8 NATURALS,Kali Miri,,Piper nigrum,काळी मिरी,Shrub,,,,,
142,[object Object],8 NATURALS,Toran,,Zyziphus rugosa,तोरण,Tree,https://drive.google.com/file/d/1-eLXdP7Ue9NfGn-Bv9qpUdqsQ3PMnCLb/view?usp=drive_link,Maithili Phatak,,,
84,[object Object],8 NATURALS,Rohitak,Rohida,Aphanamixis polystachya,रोहीतक,Tree,https://drive.google.com/file/d/1DRn5umHFJJZY2SZed7cwrhD1HOtlo53q/view?usp=sharing,Nonisha Negi,All parts of the tree,"Rohitak is a very common tree found on forest edges of abandoned plantations. It is a tree and grows primarily in the wet tropical biome.
Rohitak is a slow growing small deciduous tree with drooping branches. It is known to work efficiently as a blood purifier. The special property of Rohitaka as a reducing herb is salutary in obesity. It is also an antitoxin, hence beneficial in poisons. In Asian countries like India, the plant is used in traditional medicine (Ayurveda) to treat a wide variety of conditions, such as jaundice, ulcer, and intestinal worms. Oil is not edible and can be used as biodiesel and lighting. The very fine wood is used for construction and ship-making.",IG- @n0nisha
224,,8 NATURALS,Malkangani,Black oil plant,Celastrus paniculatus,मालकांगणी,Climber,,,Seed,"Malkangani is an indigenous plant known for centuries as “the elixir of life” in ancient Indian medicine. It is a deciduous vine with stems up to 10 cm (3.9 in) in diameter and 6 m (20 ft) long with rough, pale brown exfoliating bark. This climbing shrub grows throughout India at elevations up to 1,800 m. Oil from the seeds is used as a traditional medicine in Indian Unani and Ayurvedic medicine. The seeds improve concentration, alertness, and cognitive function in the brain. All parts, especially seeds have low toxicity if eaten unsupervised. Symptoms include vomiting, diarrhea, loss of consciousness. Add Malkangani Oil (2-4 drops) in milk and drink empty stomach in the morning. Do it regularly, this will improve memory, intellect, concentration, weakness, migraine, arthritis & Epilepsy. Mix almond Oil and Malkangani Oil and massage on affected area to relieve body pain. ",
82,,8 NATURALS,gulab,rose,rosa indica/,गुलाब,Shrub,,,,,
159,[object Object],8 NATURALS,Dalimb,Pomegranate,Punica granatum,डाळिंब,Tree,https://drive.google.com/file/d/1jkaDLJdDKNdHmHvPUiVpHO1sFPrfwaP5/view?usp=sharing,Nonisha Negi,,,IG- @n0nisha
255,,8 NATURALS,Hadjodi,Four angled vine /veldt grape ,Cissus quadrangularis,हाडजोडी,Climbing Shrub,,,Stem,"Hadjodi is an evergreen climber growing to 5 m at a fast rate. It prefers well-drained soil and can grow in nutritionally poor soil. It cannot grow in the shade. On the contrary, it can tolerate drought. Hadjodi has been used in various Ayurvedic classical medicines to heal broken bones and injured ligaments and tendons. Thus, it is called asthisamharaka in Sanskrit (that which prevents the destruction of bones). Its bactericidal effects on ",
95,,8 NATURALS,Limbu,Lemon,Citrus limon,लिंबू,Shrub,,,,,
75,,8 NATURALS,Gavati Chaha,Lemon grasss ,Cymbopogon citratum,गवती चहा,Grass,,,,,
100,,8 NATURALS,,,Citrus Limonum,लिंब ,Shrub,,,,,
83,[object Object],8 NATURALS,Rudraksh,Blue Marble Tree,Elaeocarpus angustifolius,रुद्राक्ष,Tree,https://drive.google.com/file/d/1DRn5umHFJJZY2SZed7cwrhD1HOtlo53q/view?usp=sharing,Nonisha Negi,,,IG- @n0nisha
114,,8 NATURALS,,,Curcuma longa,हळद,Herb,,,,,
150,,8 NATURALS,Dinda,,Leea indica,दिंडा,Shrub,,,,,
212,,8 NATURALS,bhadrak,,Scaevola taccada,भद्रक,Shrub,,,,,
172,,8 NATURALS,Parijatak,,Nyctanthes arbor-tristis,पारिजातक,Shrub,,,,,
199,[object Object],8 NATURALS,Shendri,Lipstick Tree,Bixa orellana,शेंद्री,Tree,https://drive.google.com/file/d/1gRJKHZkPsQhl-qOqumIDGUzn7PEcpLqR/view?usp=sharing,Rohit Thomas Issac,Seed,"The tree is best known as the source of a natural orange-red condiment obtained from the waxy cover of its seeds. It is also used as an industrial food coloring to add yellow or orange color to many products. It's use in food may play a protective role in the prevention of food-borne illness. Some people use the seeds to make red body paint and lipstick. Several of the popular uses of Bixa orellana are the same, for example, antipyretic, aphrodisiac, antidiarrheal, antidiabetic, and insect repellent.",IG- @thomasdoes.art
78,,8 NATURALS,,,Citrus Sp.,गधड ,Shrub,,,,,
58,[object Object],8 NATURALS,Tiwas,,Desmodium oojeinense,काळा पळस / तिवस,Tree,https://drive.google.com/file/d/1oJRlrjZ6dQwpH7iFo_N-xmGu0gcs3tKl/view?usp=sharing,Vanshika Kaila,,,IG- @van.imite
221,,8 NATURALS,Mohagani,,Swietenia mahagoni,मोहगनी,Tree,,Medha Bhagwat,,,
206,[object Object],8 NATURALS,Bahava,Indian Laburnum,Cassia fistula,बहावा,Tree,https://drive.google.com/file/d/1NP2XHqxD8Yv_Wr11A3jbowOPPOWfmPA6/view?usp=sharing,Madhavi Phatak,Flower,"Bahava is the official state flower of Kerala state in India. It is a popular ornamental plant and is also used in herbal medicine. The tree has strong and very durable wood. It grows well in dry climates, in full sun on well-drained soil. It is relatively drought-tolerant. The leaves have also been used to supplement the diets of cattle, sheep, and goats fed with low-quality forages. Flowering is profuse, with trees being covered with yellow flowers, many times with almost no visible leaves. Flowers of the golden shower tree are sometimes eaten by people. A paste of the flowers is used as an ointment for pimples. The fruit has a pungent odor and containing several seeds. The fruit pulp is considered a purgative, Golden jackals feed on the fruits and help in seed dispersal. The tree is frequently cultivated in Buddhist temples in Sri Lanka. In Laos, people use the flowers as offerings at the temple and also hang them in their homes for the New Year in belief that the flowers will bring happiness and good luck to the households.",
250,[object Object],8 NATURALS,Bhokar,Indian cherry,Cordia dichotoma,भोकर,Tree,https://drive.google.com/file/d/1C6Wh6kAvu3A7z1aAh_ZEHHDkJm1m2b15/view?usp=drive_link,Himani C,Fruit,Same as above.,
87,,8 NATURALS,Madaar/Rui,Giant calotrope,Calotropis gigantea,मदार/रुई,Shrub,,,All parts of the tree,"Calotropis leaves and stem when incised yield thick milky juice which has been used in Africa as an arrow poison. It is the host plant for Hawaii's non-migratory monarch butterflies. The Hawaiian Queen Liliuokalani considered them a symbol of royalty and wore them strung into leis. In Cambodia, they are used in funerals. The crown flower and its garland are offered to Lord Shiva for peace, prosperity and stability in society. Calotropis yields a durable fiber useful for ropes, etc. Crown flower cotton can also be used to make a pillow. ",
54,,8 NATURALS,Krishna Tulas,,Ocimum tenuiflorum,कृष्ण तुळस,Herb,,,,,
158,[object Object],8 NATURALS,Dragon Fruit,Dragon Fruit,Selenicereus undatus,ड्रॅगन फ्रूट,Tree,https://drive.google.com/file/d/1yzaPP4EGrjx6ZGgkFq2SzZdaF8zcNUZr/view?usp=sharing,Medha Bhagwat,,,
156,[object Object],8 NATURALS,Dhaman,,Grewia tiliifolia,धामण,Tree,https://drive.google.com/file/d/1E55TTRXfWPUvZLgtpxjuVSJof0HOL07b/view?usp=sharing,Nonisha Negi,,,IG- @n0nisha
145,[object Object],8 NATURALS,Tuti,,Morus alba,तुती,Tree,https://drive.google.com/file/d/1rY2w1mJDvkyGsRV4ax-mYvPkIzTRNEbD/view?usp=sharing,Vanshika Kaila,,,IG- @van.imite
211,[object Object],8 NATURALS,,,Dendrocalamus stocksii,बांबू माणगा,,https://drive.google.com/file/d/1ruBWEWSzHE-ibY-Z8XhupdWhr6O7LruT/view?usp=drive_link,Anushree,,,
49,[object Object],8 NATURALS,Kadu Kawath,,Hydnocarpus pentandrus,कडू कवठ,Tree,https://drive.google.com/file/d/1CHclXFshG8qkohky7C1mQjLbSrv05kQm/view?usp=sharing,Vanshika Kaila,,,IG- @van.imite
143,,8 NATURALS,Tarwad,,Senna auriculata,तरवड,Shrub,,,,,
177,[object Object],8 NATURALS,Putranjiva,,Putranjiva roxburghii,पुत्रंजिवा,Tree,https://drive.google.com/file/d/1gVRsB63_rtKSTiVFb4iJ8Jp7FOJ6Q8TY/view?usp=sharing,Rohit Thomas Issac,,,IG- @thomasdoes.art
94,[object Object],8 NATURALS,Neem,Neem tree,Azadirachta indica,नीम,Tree,https://drive.google.com/file/d/1nF5Xim1iRBOVLYTfhdn0Xv3fsip1v8H4/view?usp=sharing,Nonisha Negi,Leaves,"The Neem tree is noted for its drought resistance. Yellow, bitter oil from its fruits and seeds have a garlic-like odor and contains many useful chemicals. Neem leaves are dried in India and placed in cupboards to prevent insects eating the clothes, and also in tins where rice and wheat is stored. It is a traditional medicine, and neem twigs are often used as a teeth-cleaning brush. The tender shoots and flowers of the margosa tree are eaten as a vegetable in India. A soup-like dish made of the flower of neem is prepared in Tamil Nadu. It is very common to see margosa trees used for shade lining of streets. The Persian name of the tree, azad darakhat-e-hind, meaning 'the free tree of India, implies that it is free from disease and insect problems. ",IG- @n0nisha
191,,8 NATURALS,Bhendi,Ladies Finger,Abelmoschus esculentus,भेंडी,Herb,,,Vegetable,"Okra originated in West Africa. It is among the most heat- and drought-tolerant vegetable species in the world. Okra or Ladies Finger is low in calories but packed full of nutrients. The vitamin C in okra helps support healthy immune function. It is also rich in vitamin K, which helps your body clot blood. The pods of the plant are mucilaginous and can be used for the removal of turbidity from wastewater. Okra seeds may be roasted and ground to form a caffeine-free substitute for coffee. And, it is used as a good thickener in many culinary dishes. ",
42,,8 NATURALS,Karvand,Black currant/ Conkerberry ,Carissa spinarum,करवंद जंगली ,Shrub,,,Fruit,"Black currant has a high ecological tolerance and can live in a wide range of habitats. In more arid regions the plant tends to be confined to areas of higher moisture such as at the base of hills or floodout areas. The fruits are edible, but only when fully ripe; they have a sweet flavour, but the milky sap of this plant – and its unripe fruit – is poisonous. The fruits are also a popular food for the Australian bustard, emu and many other birds in its range. Its leaves provide food for butterflies and some moths. This plant is known to choke out grasses. Parts of the plant are used medicinally for joint and muscle pain. Fruit extracts from the plant have shown antioxidant and also antidiabetic properties. ",
198,[object Object],8 NATURALS,Bherali mad,Fishtail palm,Caryota urens,भेरली माड,Tree,https://drive.google.com/file/d/1XTVIpbPE5bN9oqkjkKt6auS5pBKvKjoX/view?usp=sharing,Rohit Thomas Issac,All parts of the tree,"The leaf of Fishtail palm is used as fishing rod after trimming the branches of the leaf and drying. It is an annual tree and the completion of the flower and fruiting process results in the death of the tree. The trunk contains a high quantity of starch and a juice can be extracted from the shoots of the flowers. The latter can be boiled into a sugary syrup. The cabbage can be eaten raw or cooked. The sap of the tree is boiled for many hours until it turns into the thick, dark treacle, unique to Sri Lanka. Kithul treacle is used as a sweetener. Toddy is extracted from the inflorescence, and is considered somewhat powerful compared to toddy extracted from other palm trees. The pulp of the mature plant is cut, sun dried, and powdered, and is edible. It is sweet in taste. This powder is considered cool and nutritious. The Cambodians cut the stalks to make sugar, which in turn can be made into wine. Elephants are fed both the leaf and the pulp of this plant. ",IG- @thomasdoes.art
89,[object Object],8 NATURALS,Ramphal,"Bullock Heart, Wild Sweetsop",Annona reticulata,रामफळ,Tree,https://drive.google.com/file/d/1snkHONh1nFbzGLXWlcPC20-UYs3fe0Za/view?usp=sharing,Nonisha Negi,Fruit,"Ramphal tree provides us with shelter, food, medicine and even clothing. The fruit is good for skin and hair",IG- @n0nisha
149,[object Object],8 NATURALS,Taiwan peru,Taiwan guava,Psidium guajava,तैवान पेरू,Tree,https://drive.google.com/file/d/1pibRs7zqUSXdBZloZjYpnlBwEfto71Yr/view?usp=sharing,Medha Bhagwat,,,IG- @_medhu_vada_
248,,8 NATURALS,Ganer,Silk cotten tree, ,गणेर,Tree,,Vatasala Shukla,Flower,"The flowers of the Buttercup tree are the most conspicuous part of the tree. The Ganer flowers are used as temple offerings. It is also known as silk-cotton tree because the capsules containing the seeds have a fluffy cotton-like substance. Another common name is buttercup tree because its yellow and bright flowers look like large-sized buttercups. In Theravada Buddhism, this plant is said to have used as the tree for achieved enlightenment, or Bodhi by nineteenth Buddha called ""Siddhaththa”. The flowering season is between February and April, particularly after the leaves are shed. The capsule splits open to release the seeds which are embedded in the silky cotton contained within. This silky cotton is said to induce sleep when stuffed into pillows. ",
127,[object Object],8 NATURALS,Chinch,Tamarind,Tamarindus indica,चिंच,Tree,https://drive.google.com/file/d/1d5rxi3L2GYuRXztoFJf6MFJBucojUdPx/view?usp=sharing,Medha Bhagwat,,,IG- @_medhu_vada_
134,,8 NATURALS,Raan Halad,Wild Turmeric,Curcuma aromatica,जंगली हळद,Herb,,,Root,"Wild turmeric has rhizomes with a peculiar fragrance and cream color. The perennial foliage dies down in late autumn and the rhizomes remain dormant in winter. The inflorescence appears in early spring from the base of the rhizomes. During summer and monsoon seasons and the immediately following weeks, the plant grows fast and vigorously. Leaves often appear even after the flowers. The rhizomes are often used as a culinary ingredient, and in traditional medicine, for skin disorders and as an antibacterial agent. It is also commonly used in ethnic herbal cosmetic products. As a culinary ingredient it is used in limited quantities as a natural food colour. Leaves are broad and very decorative, elliptic with a leaf stem running as long to the tip of the blade. A fresh stalk with flowers and leaves, cut to proper size and shape, can be used as a floral indoor decoration in vase for up to 10 days. ",
196,,8 NATURALS,Paan Banaras,,Piper betel,बनारस पान,Shrub,,,,,
181,[object Object],8 NATURALS,Phanas,Jackfruit,Artocarpus heterophyllus,फणस,Tree,https://drive.google.com/file/d/14WfLPN967aAVx_za_F4y-8ojt2JgTyse/view?usp=sharing,Rohit Thomas Issac,Fruit,"The several parts of jack tree including fruits, leaves, and barks have been extensively used in traditional medicine due to its anticarcinogenic, antimicrobial, antifungal, anti-inflammatory, wound healing, and hypoglycemic effects. Jackfruit leaves and roots contain chemicals that might help control blood sugar increases after eating. Its fruit is a source of vitamin A, fiber, and protein. People use jackfruit for diabetes, wound healing, and many other conditions. Its high vitamin C is a good way to build immunity and fight bacteria and viruses. The potassium in it might help manage high blood pressure. Unripe jackfruit has a mild flavor and meat-like texture and is used in curry dishes with spices in many cuisines. ",IG- @thomasdoes.art
