Sr No.,Drawing,Source of data,Common name Marathi,Common name English,Scientific Name,Name,Tag,Link to artwork,Artist name,Grove type / Category,Short description,Artist's social media
195,[object Object],8 NATURALS,Bija,,Pterocarpus marsupium,बीजा,Tree,https://drive.google.com/file/d/1UZJHYOSorGeHbQ1dEGxh4Nnriq3yVKhm/view?usp=sharing,Aparna Sajit,,,
219,,8 NATURALS,,, ,मांगीण,Tree,,,,,
188,,8 NATURALS,Pandhara Gokarn,White Butterfly pea ,Clitoria ternatea,पांढरा गोकर्ण,Herb,,,Flower,"Same as Gokarn except that flowers are not used as coloring agent.                                 The genus name Clitoria is a direct translation from the local name of these plants which literally means ""clitoris” due to their blossoms' shape that resembles the shape of a human vulva. It is grown as an ornamental plant and as a re-vegetation species (e.g., in coal mines in Australia), requiring little care when cultivated. As a legume, its roots form a symbiotic association with soil bacteria known as rhizobia, which transform atmospheric N2 into a plant-usable form (a process called nitrogen fixing), therefore, this plant is also used to improve soil quality through the decomposition of nitrogen rich plant material.",
157,[object Object],8 NATURALS,Dhayti,,Woodfordia floribunda,धायटी,Tree,https://drive.google.com/file/d/1bL4JwMg-InoarYxlgSRp-5LZa9-b8PK0/view?usp=sharing,Nonisha Negi,,,IG- @n0nisha
166,[object Object],8 NATURALS,Pangara,,Erythrina variegata,पांगारा,Tree,https://drive.google.com/file/d/1DPEVkC9XWpWHhyXRGpWoQNVXPPbuksXQ/view?usp=drive_link,Medha,,,
88,[object Object],8 NATURALS,Rakta chandan,,Pterocarpus santalinus,रक्तचंदन,Tree,https://drive.google.com/file/d/1DRn5umHFJJZY2SZed7cwrhD1HOtlo53q/view?usp=sharing,Nonisha Negi,,,IG- @n0nisha
105,[object Object],8 NATURALS,Kala Kuda,,Wrightia tinctoria,काळा कुडा,Tree,https://drive.google.com/file/d/1pX3vrV1iBxGE04hTxvi_Us223Oz-UOqb/view?usp=sharing,Nonisha Negi,,,IG- @n0nisha
228,,8 NATURALS,Seetaranjan,Fiddlewood,Citharexylum spinosum,सितारंजन,Tree,https://drive.google.com/drive/u/0/folders/1bLQ6MDM35px-VvJJByTVV_0g8WnuNbC0,Vrushali Mehta,Bark,"Fiddlewood is a beautiful shrub or a small tree with long tassels of richly scented white flowers. It makes a nice patio tree planted in the shade of pines or other tall trees. Fiddlewood is tolerant of sandy, dry soil and adapts to a wide range of soil pH including alkaline. The tiny flowers are a favourite to the bees. The tree is harvested from the wild for local use as a food, medicine and source of a good quality wood. The wood of this tree is said to be useful for making musical instruments - that could be the reason for its common name, fiddlewood. It is used to make sounding boards for musical instruments and cabinets. Leaves are green, but turn orange when aged and drop off. The plant is often also grown as an ornamental.  It can endure wide fluctuations in temperature. It grows best in a sunny position. The plant is tolerant of a wide range of soils from clay to gravelly and sandy, dry soils, and also adapts to a wide range of soil pH. The wood is useful for fence posts and other rough construction where resistance to termites and to rot are required. The wood is also used to make charcoal. ",
207,,8 NATURALS,,,,बटरफ्लाय बुश,Shrub,,,,,
232,,8 NATURALS,Saag,Teak ,Tectona grandis,साग,Tree,,,,,
147,[object Object],8 NATURALS,,Thai mulberry,Thai Mulberry,थाई तुती,Tree,https://drive.google.com/file/d/1OrIFVAfKApG9az6xlyfymAUN8tBw7-cT/view?usp=sharing,Medha Bhagwat,,,IG- @_medhu_vada_
201,[object Object],8 NATURALS,Bilimbi,Cucumber Tree,Averrhoa bilimbi,बिलंबी,Tree,https://drive.google.com/file/d/1lsTNluwFpcMfQujnxR9inGWWkfvceiPg/view?usp=sharinghttps://drive.google.com/file/d/1lsTNluwFpcMfQujnxR9inGWWkfvceiPg/view?usp=sharing,Anushree Nakhre,Fruit,"Cucumber is a fruit-bearing tree. Commonly used to make a salad mixed with tomatoes, and chopped onions, with soy sauce as dressing, the fruit also possesses medicinal properties. It is anticancer, and wound healing. Also, it is often used to give a sour or acidic flavor to food, substituting tamarind or tomato. It is often used in rural places as an alternative stain remover. Cucumber juice (with a pH of about 4.47) is made into a cooling beverage. The flowers of the bilimbi plant were commonly used in the 20th century as a cloth dye. The plant is cultivated throughout Central and South America where it is known as Mimbro. The tree needs protection from wind and cold. ",
66,[object Object],8 NATURALS,Khirani,,Manilkara hexandra,खिरणी,Tree,https://drive.google.com/file/d/1-cxjLw53ccBqXgQO3HkzVQA7Jd4exy9P/view?usp=sharing,Vatsala,,,
52,[object Object],8 NATURALS,Kadamb,,Neolamarckia cadamba,कदंब,Tree,https://drive.google.com/file/d/18B8KXxUe4wx6rQNTl8Vz0aY__vAQIOPP/view?usp=drive_link,Anushree,,,
231,[object Object],8 NATURALS,Shisam,Indian rosewood /Bombay blackwood,Dalbergia latifolia,शिसम,Tree,https://drive.google.com/file/d/1jo8kuw06gaM1nv6EPbrwkdyfAhzYmdyf/view?usp=drive_link,Lavanya Dhyani,,,
61,,8 NATURALS,Kali Nirgudi,,Vitex negundo,काळी निरगुडी,Shrub,,,,,
68,,8 NATURALS,Laal khair,,Senegalia chundra,लाल खैर,Tree,,Shruti Bhagwat,,,
77,,8 NATURALS,,,,गंजिपंपळी,,,,,,
137,,8 NATURALS,Jaai,,Jasmine / Jai,जाई,Climber,,,,,
121,[object Object],8 NATURALS,Hirva Chapha,Perfume tree,Artabotrys hexapetalus,हिरवा चाफा,Tree,artabotrys-odorattismus (1).png,Anushree Nakhre,Flower,"It is very well known flower used for ornamental purpose. The plant yields an essential oil and is also used as a flavoring in tea. The extract is rich in antioxidant and their antimicrobial activities help combat flu, cures fever, and also improves eyesight. ",
76,,8 NATURALS,Gokarn,Butterfly pea ,Clitoria ternatea,गोकर्ण,Climber / Herb,,,Flower,"In Southeast Asia, the flower is used as a natural food colouring to colour glutinous rice and desserts like the Eurasian putugal as well as an ayurvedic medicine. In Burmese and Thai cuisines, the flowers are also dipped in butter and fried. Tea is made from the ternatea flowers and dried lemongrass and changes color depending on what is added to the liquid, with lemon juice turning it purple. The flowers have more recently been used in a color-changing gin and absinthe. The flower can be used to dye natural fibers and is used by traditional societies in Asia to do so.",
116,,8 NATURALS,,,Deceptive Curcuma,हळद जांभळी,Herb,,,,,
144,,8 NATURALS,Tagar,,Tabernaemontana divaricata,तगर,Shrub,,,,,
124,[object Object],8 NATURALS,Charoli,Chironji Tree,Buchanania cochinchinensis,चारोळी,Tree,https://drive.google.com/file/d/18XYZVTk7eMsN5T23LSzkH_FLOguNZZOP/view?usp=sharing,Medha Bhagwat,Seed,"The charoli tree produces fruit that is edible to humans. The seeds are used as a cooking spice, especially in India. Charoli seeds are also used in the Ayurveda, Unani, and Siddha systems of medicine. A decoction can be prepared from the bark of the stem or the leaves, to be used as a medicine. While the oil can be used as a substitute for almond or olive oil for cooking purposes, the whole kernel can be used as sweet-meats. The oil extracted from the fruits generally goes by the name 'char' and has incredible medicinal uses including treating skin diseases. Buddha was sitting under a rājāyatana (B. cochinchinensis) tree, where he attained buddhahood.",IG- @_medhu_vada_
109,,8 NATURALS,Shami,,Prosopis cineraria,शमी,Tree,,Himani,,,
48,[object Object],8 NATURALS,Katesavar,Silk Cotton Tree,Bombax ceiba,काटेसावर,Tree,https://drive.google.com/file/d/1J4o0SZbN-IdwQmxc0ZzBtj4rf88QqtLC/view?usp=sharing,Vanshika Kaila,Flower,"Katesavar is a tall tree with numerous conical prickles on the trunk. It is best grown as a specimen tree for shade in large gardens and parks. White fluffy fibres coat the seed which are made into thread and woven into textiles. The fibers are also used in pillows. In Thailand, the dry cores of the flower are an essential ingredient of the nam ngiao spicy noodle soup of the cuisine of Northern Thailand, as well as the kaeng khae curry. It plays a vital role in Chinese culture. Flowers are used to prepare tea or soup. The nectar in the flowers attract many Birds and insects. ",IG- @van.imite
136,,8 NATURALS,Jui,,Jasminum auriculatum,जुई,Climber,,,,,
240,[object Object],8 NATURALS,Narkya,,Nothapodytes nimmoniana,नरक्या,Tree,https://drive.google.com/file/d/1Y2kZ8At4R4u546HxKhgThRy6H5JfSljr/view?usp=drive_link,Anushree,,,
174,[object Object],8 NATURALS,Lal peru,strawberry guava,Psidium cattleyanum,स्ट्रॉबेरी पेरू,Tree,https://drive.google.com/file/d/1EXow1kos7UK0iiN5qUf9vVxgI7xZyYmK/view?usp=sharing,Rohit Thomas Issac,,,IG- @thomasdoes.art
141,[object Object],8 NATURALS,Tamhan,,Lagerstroemia speciosa,ताम्हण,Tree,https://drive.google.com/file/d/1YEnVdllKhRlcK0YQasa2EmGfTugPH6wF/view?usp=sharing,Vanshika Kaila,,,IG- @van.imite
235,,8 NATURALS,Stevia,,Stevia rebaudiana,स्टिव्हीया,Herb,,,,,
50,[object Object],8 NATURALS,Kinhai,White Shirish,Albizia Procera,किन्हई,Tree,https://drive.google.com/file/d/1Vor7D6nKmF4lPyKcnes_dhFTiJ6gyjRr/view?usp=sharing,Vanshika Kaila,Bark,"Kinhai is cultivated for timber or as fuel. The leaves are considered good fodder for animals. The wood makes good charcoal, and the resin is a good substitute for gum arabic. The leaves are said to be insecticidal, while the bark may be used to make fish poison. The tree has a good soil-binding capacity, provides shade in plantations, and used as wind- and fire-breakers. All of its parts are believed to have an anti-cancer function. The roots have spermicidal activity.",IG- @van.imite
111,,8 NATURALS,Hajari Mogra,Chinese Glory Flower,Clerodendrum Chinense,हजारी मोगरा,Shrub,,,Flower,"Hajari Mogra is a perennial shrub that grows just up to 3 m (10 ft) tall. A popular garden plant, it has been widely introduced to the rest of the world. Flowers are white, pinkish, or red, delicate and captivating. The plant flowers in a bunches found in terminal positions. The flowers are very fragrant in the evening and attract butterflies.  Species in this genus generally grow best in full sun or partial shade in a moist but well-drained soil. Widely cultivated as an ornamental, the plant is very aggressive and spreads freely by means of suckers. It tends to escape easily from cultivation, becoming a weed in suitable climates and is found in pastures, roadsides, river banks, thickets and secondary forest.. It has become widespread throughout the tropics. Mechanical control is difficult: continual slashing will slow spread but not prevent it. Vertical barriers in the soil may prevent further spread if deep enough. The chrysomelid beetle Phyllocharis undulata is a prospective biocontrol agent. ",
99,,8 NATURALS,,,Citrus reticulata×	medica	,लिंब ,Shrub,,,,,
106,,8 NATURALS,Shatawari,Satamuli /satawar,Asparagus racemosus,शतावरी,Climber,,,Root,"Shatavari increases the production of a hormone that is important for breastfeeding and hormone balancing. It helps to nourish the female reproductive system and relieves the menopausal symptoms. Also, it boosts immunity. Shatavari is recommended in Ayurvedic texts for prevention and treatment of gastric ulcers, dyspepsia and for nervous disorders. Its roots have been used as a remedy for schistosomiasis and tuberculosis. The roots of Asparagus filicinus are considered as tonic, astringent, and vermifuge. For weight loss, take shatvari powder with warm water or milk in the morning. ",
91,,8 NATURALS,,,Zingiber diwakarianum,रानआले,Herb,,,,,
101,,8 NATURALS,,,Citrus limetta,लिंब,Shrub,,,,,
210,[object Object],8 NATURALS,Mes,,Dendrocalamus strictus,बांबू मेस,,https://drive.google.com/file/d/1WIFLliDLUGGrXWxn6mFD7yuxY1jX3M8V/view?usp=drive_link,Himani,,,
97,,8 NATURALS,,,Citrus medica,लिंब,Shrub,,,,,
129,[object Object],8 NATURALS,Cheri,Cherry,Prunus avium,चेरी,Tree,https://drive.google.com/file/d/1_o4cLZq7xn6BNJLj84z8KChSorXj2lg-/view?usp=sharing,Medha Bhagwat,,,IG- @_medhu_vada_
184,[object Object],8 NATURALS,Pipar,,Ficus amplissima,पिपर,Tree,https://drive.google.com/file/d/1dod3unFyAKbKLKV4by3WGtX8CHxhfORF/view?usp=drive_link,Himani C,,,
117,,8 NATURALS,,,Curcuma zedoaria Rosc,हळद पांढरी,Herb,,,,,
244,[object Object],8 NATURALS,Dandus,,Dalbergia lanceolaria,दांडूस / दांडोशी,Tree,https://drive.google.com/file/d/1-uHyUWFhhJlokBczISfWO5K2O_2Ij-qW/view?usp=drive_link,Himani C,,,
115,,8 NATURALS,Ambe Halad,Mango Ginger,Curcuma amada,आंबे हळद,Herb,,,Root,"Ambe Halad is a plant of the ginger family. It is closely related to turmeric or Halad. The rhizome shows resemblance with ginger but imparts a raw mango flavour. They lack the pungency of ginger, and instead have a raw mango flavour. Mango-ginger is a popular spice and vegetable due to its rich flavor, which is described as sweet with subtle earthy floral and pepper overtones and similar to that of raw mango. It is widely used in the kitchen as a herbal spice for its unique taste. It is used as an addition to salads and stir fries. Mango ginger is used in making pickles in south India and chutneys in north India. The biological activities of mango ginger include antioxidant activity, antibacterial activity, antifungal activity, anti-inflammatory activity, and depressant and analgesic activity. It can be grown in any climate. It has drought tolerance capacity. Initial slow growth of mango ginger makes them extremely susceptible to weed interference with high yield losses. Therefore, timely weeding becomes necessary for enhanced productivity.",
80,,8 NATURALS,,,galgal limoniun,गलगल लिंबू,Shrub,,,,,
57,,8 NATURALS,Karvand,Bengal currant/Cranberry,Carissa carandas,करवंद गुलाबी,Shrub,,,Fruit,"Karvand produces berry-sized fruits that are commonly used as a condiment in Indian pickles and spices. It is a hardy, drought-tolerant plant that thrives well in a wide range of soils. The plant flourishes in regions with high temperatures. It is rich in iron, vitamin C, vitamins A, calcium and phosphorus. Its fruit is used in the ancient Indian herbal system of medicine, Ayurveda. The biggest use of this fruit is as a faux cherry in cakes, puddings and other preparations. It is easily available in the market in bottled form as pitted cherries after processing it like traditional candied murabba. Colonial British in India also made jelly, jams and syrups from it. Karvand is also ideal for hedges as it grows rapidly, densely, is easy to grow, drought resistant, and needs little attention. ",
96,,8 NATURALS,,,Citrus Aselett,लिंब,Shrub,,,,,
241,,8 NATURALS,Nepati,Caper berry,Capparis decidua,नेपती,Shrub,,,Fruit,"Nepati is a medicinal plant that grows abundantly in wild arid regions. It bears a mass of slender, gray-green leafless branches. Red conspicuous flowers appear in March to April and August–September. The pink fleshy berries are readily eaten by birds. The fruit and young buds can be eaten raw.
Its spicy fruits are used for preparing vegetables, curry and fine pickles. It can be used in landscape gardening, afforestation and reforestation in semi-desert and desert areas; it provides assistance against soil erosion. ",
216,,8 NATURALS,Madhavi Lata,,Hiptage benghalensis,माधवी लता,Climber,,,,,
178,[object Object],8 NATURALS,Palas,Flame of the Forest Tree,Butea monosperma,पळस,Tree,https://drive.google.com/file/d/1B57wGuw0_rTx2Y5EIUcF7NdQz5P8TXKa/view?usp=sharing,Shreya Deshpande,Flower,"This tree is revered as sacred by Hindus. These flowers are specially used in the worship of Shiva on occasion of Shivaratri. Historically, palash originated in forests of Bihar and Jharkhand in Doaba area between the Ganges and the Yamuna, Being durable under water, it is used for well-curbs and water scoops. Spoons and ladles made of its wood are used in various Hindu rituals to pour ghee into the sacred fire. The leaves are traditionally used to serve food. Dry stem is used to create sacred fire during poojas. Palash flowers are used as a brain stimulant and used in treating enlarged spleen and menstrual disorders.",
218,,8 NATURALS,Maharukh,Indian Tree of Heaven,Ailanthus excelsa,महारुख,Tree,https://drive.google.com/drive/u/0/folders/1PObcVRMUpDiuSWX_aw4BsWAgeXvjZ8PT,Vatsala,Leaves,"Although commonly known as tree of heaven, it has a disagreeable odor. The trees are grown along the edges of fields and rivers to mark boundaries and prevent soil erosion. Leaves are used as fodder for sheep and goats. The leaves and the bark both have medicinal properties as a tonic that is used after labor. . Wood is used to make catamarans. The tree is also used in matchstick industry, and it is one of the best tree used to trap Suspended Particulate Matter (SPM). ",
243,[object Object],8 NATURALS,Bel,Wood Apple,Aegle marmelos,बेल,Tree,https://drive.google.com/file/d/1nDJ-ipF7yuEb9aS_ZiwbiOpvyq5puUv_/view?usp=drive_link,Vatsala,Fruit,"Bael is considered one of the sacred trees of Hindus. The bark is often with slimy sap oozing out from cut parts. The fruit takes about 11 months to ripen on the tree, reaching maturity in December. The shell is so hard it must be cracked with a hammer. Unripe Bael fruit pulp along with sugar or honey is found to be very effective in managing diarrhea, dysentery and other gastrointestinal disorders. The flavor of the ripe pulp is ""sweet, aromatic and pleasant, although tangy and slightly astringent in some varieties. It is able to grow in places that other trees cannot. It copes with a wide range of soil conditions. The tree is a larval food plant for the lime butterfly and the common Mormon. ",
130,,8 NATURALS,Chaha,Tea,Camellia sinensis,चहा,Shrub,,,Leaves,"Tea is a small tree. Its leaves, leaf buds, and stems can be used to produce tea. All types of tea are harvested from one of two major varieties grown today, but are processed differently to attain varying levels of oxidation with black tea being the most oxidized and green being the least. Fresh leaves contain about 4% caffeine. Different leaf ages produce differing tea qualities, since their chemical compositions are different. Chinese Assam tea and Indian Assam tea diverged 2,800 years ago. Tea plants prefer a rich and moist growing location in full to part sun. Tea plants will grow into a tree if left undisturbed, but cultivated plants are pruned to waist height for ease of plucking. Three main kinds of tea that are produced in India are Assam, Darjeeling, and Nilgiri. ",
180,,8 NATURALS,Passion Fruit,,Passiflora edulis,पॅशन फ्रुट,Climber,,,,,
108,[object Object],8 NATURALS,Shivan,,Gmelina arborea,शिवण,Tree,https://drive.google.com/file/d/1498E48On-ugE0Zj_Xjl8cv4lhZNZw_-m/view?usp=drive_link,Himani C,,,
238,,8 NATURALS,"Shewari, Dhaincha",,Sesbania bispinosa,शेवरी,Tree,,,,,
205,[object Object],8 NATURALS,Bor,,Ziziphus mauritiana,बोर,Tree,https://drive.google.com/file/d/18cURNRflrktSG-zJMH60OJ04vxkhW7cd/view?usp=sharing,Shruti Bhagwat,Fruit,,
165,,8 NATURALS,Nila Gokarn,Blue Pea ,Clitoria ternetea,निळा गोकर्ण,Shrub,,,Flower,Same as the two Gokarn above. ,
236,,8 NATURALS,,,,सागर सुपारी,Shrub,,,,,
56,,8 NATURALS,Cofffee,Arabica coffee ,Coffea arabica ,कॉफी,Shrub,,,Seed,"The first written record of coffee made from roasted coffee beans (botanical seeds) comes from Arab scholars, who wrote that it was useful in prolonging their working hours. The Arab innovation in Yemen of making a brew from roasted beans spread first among the Egyptians and Turks, and later on found its way around the world The natural populations of Coffea arabica are restricted to the forests of South Ethiopia and Yemen. But the species is widely naturalised in areas outside its native land. It is today grown in dozens of countries. Coffea arabica is itself the result of a hybridization between two species. This hybridization is estimated between 1.08 million and 543,000 years ago and is linked to changing environmental conditions. The seeds mature from bright red to purple and typically contain two seeds, often called coffee beans.  It is commonly used as an understory shrub. It was formerly more widely grown than at present, especially in Hawaii. It was a highly invasive problematic weed in many places. Due to being an understory plant, it requires standing forest, making it highly susceptible to the historically significant deforestation levels. ",
251,,8 NATURALS,Sher,,Euphorbia tirucalli,शेर,Tree,https://drive.google.com/file/d/12ClA_9u1o2AaCDv3gfWKEaYTtYDAJwWY/view?usp=drive_link,Himani C,,,
43,,8 NATURALS,,, …,,Tree,,,,,
222,,8 NATURALS,Murudsheng,,Helicteres isora,मुरुडशेंग,Shrub,,,,,
153,[object Object],8 NATURALS,Durangi Babhul,,Dichrostachys cinerea,दुरंगी बाभूळ,Tree,https://drive.google.com/file/d/1Tkn9-GkfitHl_Q-Jf6sMPIhHNUef4sER/view?usp=sharing,Nonisha Negi,,,IG- @n0nisha
92,,8 NATURALS,Ranjai,Deccan Clematis,Clematis heynei,रानजाई,Shrub,,,All parts of the tree,"Deccan Clematis is an perennial climber. Flowers are white and fragrant. These gorgeous plants require a lot of light to grow, but they do not like direct sunlight. The plant is harvested from the wild for local use as a medicine and tying material. In the Indian system of medicine ‘Ayurveda’ this plant is used to eliminate malarial fever and headache. Traditional medicine practitioners prescribe the root decoction orally or small pieces placed in mouth in the treatment of vomiting. A decoction of the root with boiled rice water is given at night to children as an anthelmintic. The leaf juice is used for treating boils, leprosy, blood diseases and cardiac disorders. The leaf paste is applied externally for itches, in wounds and skin allergies. Flower juice applied externally for acne, black heads and black spots on face. The stems, or the fibres obtained from them, are used as a tying material. It needs pure water and not that from an urban water treatment plant. ",
171,,8 NATURALS,Paan Ova,Indian mint,Coleus amboinicus,पान ओवा,Herb,,,Leaves,"Paan Ova plant is perennial. The leaves are strongly flavoured. The taste and odor of the leaves is described as being similar to the one of oregano, but with a sharp pungent mint-like flavor. Leaves are 5–7 cm long, fleshy, undivided (simple), broad, egg/oval-shaped with a tapering tip (ovate). The margins are coarsely dentate-crenate (round-toothed) except in the base. They are thickly studded with hairs (pubescent), The herb is used as a substitute for oregano to mask the strong odors and flavors of fish, mutton, and goat. Fresh leaves are used to scent laundry and hair. It is also grown as an ornamental plant. In the southern Indian state of Karnataka, it is soaked in batter and fried to make pakodas. The leaves can be used to make rasam and a herbal remedy (kashayam) that offers symptomatic relief from cold and sniffles. Indian mint is a fast-growing plant commonly grown in gardens and indoors in pots. Propagation is by stem cuttings, but it can also be grown from seeds. ",
164,[object Object],8 NATURALS,Nandruk,,Ficus microcarpa,नांद्रुक,Tree,https://drive.google.com/file/d/1-EwDI36-He17zCOKurKd5Hx354ElKgvs/view?usp=sharing,Nonisha Negi,,,IG- @n0nisha
152,[object Object],8 NATURALS,Phanashi,,Dalbergia Lanceolaria,फणशी / फाशी,Tree,https://drive.google.com/file/d/1Tkn9-GkfitHl_Q-Jf6sMPIhHNUef4sER/view?usp=sharing,Nonisha Negi,,,IG- @n0nisha
252,,8 NATURALS,,,Curcuma caesia,हळद,Herb,,,,,
167,[object Object],8 NATURALS,Pimpal,Peepal,Ficus religiosa,पिंपळ,Tree,https://drive.google.com/file/d/1y8_5w71t0HSU83Zs3T4ZwMR_oo-83Qlo/view?usp=sharing,Maithili Phatak,,,
126,[object Object],8 NATURALS,Chikoo,,Manilkara zapota,चिकू,Tree,https://drive.google.com/file/d/1_CXG72zptTjKtilehGmUdgembomCwOWn/view?usp=sharing,Medha Bhagwat,,,IG- @_medhu_vada_
220,[object Object],8 NATURALS,Medhshingi,,Dolichandrone falcata,मेढशिंगी,Tree,https://drive.google.com/file/d/1f3_1LcRQkTlKNSbqmKtVbWi3FkwPvw_Y/view?usp=drive_link,Himani C,,,
72,[object Object],8 NATURALS,Garambi,,Entada rheedei,गारंबी,Climber,https://drive.google.com/file/d/1sx7Opvy8nOishBIe-C1Jiq07QXWbW9G7/view?usp=drive_link,Himani,,,
185,[object Object],8 NATURALS,Pandhara Chapha,,Plumeria pudica,पांढरा चाफा,Tree,https://drive.google.com/file/d/16RqcKchMYJvG0ZMAkT2GveVjBhB_H9Jn/view?usp=sharing,Rohit Thomas Issac,,,IG- @thomasdoes.art
122,,8 NATURALS,Ghaypat,Agave,Agave americana,घायपात,Herb,,,Leaves,"This plant is widely cultivated worldwide for its ornamental value and has become naturalized in various regions, It is popularly used in hot climates and areas prone to drought. Though similar, Agave is not a member of the same family as Aloe Vera. Agave nectar is a sweetener that you can use as an alternative to sugar. It's much sweeter, so you can use less of it for the same effect. It has strong fibrous tissue in its leaves, which makes it useful for ropes, brushes, sandals, nets, sleeping mats, and other similar items. A high-alcohol product is obtained through fermented agave distillation. The plant can cause severe allergic dermatitis.",
120,,8 NATURALS,Kali halad,Turmeric,Curcuma caesia,काळी हळद,Herb,,,,,
168,[object Object],8 NATURALS,Peanut Butter Fruit,,Bunchosia glandulifera,पिनट बटर फ्रूट,Tree,https://drive.google.com/file/d/1rmS1cCmWxe72OXck0INUXAN4lpPCqRTg/view?usp=sharinghttps://drive.google.com/file/d/1rmS1cCmWxe72OXck0INUXAN4lpPCqRTg/view?usp=sharing,Maithili Phatak,Fruit,"Peanut butter fruit is a non-native plant. It produces small orange-red fruits of sticky and dense pulp with a flavour and aroma resembling that of peanut butter. It is mostly eaten fresh, but is also used for jellies, jams or preserves. Aids in weight loss, Low in calories Boosts immune system. This fruit contains carotenoids found in tomatoes. Eating this fruit can help reduce cholesterol levels and help in maintaining heart health. It also has a positive effect on our nerves. Eating peanut butter fruits may help reduce the risk of prostate cancer.",
249,,8 NATURALS,Gulwel,,Tinospora cordifolia,गुळवेल,Climber,,,,,
69,[object Object],8 NATURALS,Gorakh Chinch,Baobab,Adansonia digitata,गोरख चिंच,Tree,https://drive.google.com/file/d/1zRaskX7LAVxTIZn9aBy-glyYL6ZLOvrY/view?usp=sharing,Vatsala,All parts of the tree,"Baobabs are long-lived trees. Some individuals are over 2,000 years old. Trunks and branches have got a hollow core that stores water, as they live in areas of sustained drought and water inaccessibility. Adaptations to survive frequent fires include a thick and fire-resistant bark and thick-shelled fruit. They have traditionally been valued as sources of food, water, health remedies or places of shelter and are a key food source for many animals. They are steeped in legend and superstition. In recent years, many of the largest, oldest trees have died, for unknown reasons. ",
155,[object Object],8 NATURALS,Dhawada,Axle Wood Tree,Anogeissus latifolia,धावडा,Tree,https://drive.google.com/file/d/197okfAdhCu9QaT8bkx4A2nIAWTqZVxQ8/view?usp=sharing,Nonisha Negi,Leaves,"Dhawada leaves contain large amounts of gallotannins, and are used in India for tanning and firewood. It is also used for charcoal, and for medicinal purposes such as treating diarrhea, dysentery, and skin disorders. The tree is the source of Indian gum, also known as ghatti gum, which is used for calico printing among other uses. The leaves are also fed on by the Antheraea paphia moth which produces the tassar silk (Tussah), a form of wild silk of commercial importance. The plant is used in treating snake bites and scorpion stings in India. It is also an important source of pollen for bees.",IG- @n0nisha
217,,8 NATURALS,Mogra,,Jasminum sambac,मोगरा,Shrub,,,,,
